Artist,Song,Purchased,Assessment
Show Me the Way,Peter Frampton,7/17/24,BACKLOG
Show Me the Way (live - United States 1976),Peter Frampton,7/28/24,BACKLOG
Since U Been Gone,Kelly Clarkson,7/5/25,BACKLOG
Small Town Saturday Night,Hal Ketchum,11/27/23,AVAILABLE
Somebody's Problem,Morgan Wallen,1/6/23,READY-TO-START
"Someday, Someway",Marshall Crenshaw,6/20/26,AVAILABLE
Spooky,Atlanta Rhythm Section,9/18/24,READY-TO-START
Starting Over,Chris Stapleton,2/26/26,AVAILABLE
Steal Away,Robbie Dupree,6/8/26,READY-TO-START
Steppin' Out,Steel Pulse,6/20/26,BACKLOG
Still The Same,Bob Seger,1/18/26,AVAILABLE
Stumblin' In,Suzi Quatro & Chris Norman,4/21/23,BACKLOG
"Summer, Highland Falls",Billy Joel,7/11/25,AVAILABLE
T-R-O-U-B-L-E,Travis Tritt,12/1/23,READY-TO-START
Takin' Care of Business,Bachman-Turner Overdrive,5/17/23,AVAILABLE
Thank You,Dido,6/25/22,BACKLOG
That Thing You Do,That Thing You Do! (film) (The Wonders),6/8/26,AVAILABLE
That's All,Genesis,5/23/22,AVAILABLE
The Boys Are Back In Town,Thin Lizzy,8/9/26,READY-TO-START
The End of the Innocence,Don Henley,5/1/24,BACKLOG
The Fighter,Keith Urban & Carrie Underwood,8/16/25,BACKLOG
The Ghost in You,The Psychedelic Furs,7/3/22,AVAILABLE
The House Is Rockin',Stevie Ray Vaughan,6/12/24,AVAILABLE
The Letter (live),Joe Cocker,6/29/26,AVAILABLE
The Way It Is,Bruce Hornsby,8/17/22,READY-TO-START
Then Came You,Dionne Warwick & The Spinners,1/19/24,AVAILABLE
There She Goes,Sixpence None the Richer,1/19/24,AVAILABLE
Til I Hear It from You,Gin Blossoms,8/3/26,AVAILABLE
Time Passages,Al Stewart,11/27/23,READY-TO-START
Tired of Toein' the Line,Rocky Burnette,3/15/25,IN-PROGRESS
Torn,Natalie Imbruglia,6/26/25,BACKLOG
Tucson Too Late,Jordan Davis,7/1/26,AVAILABLE
Unchain My Heart,Joe Cocker,6/14/24,AVAILABLE
Under My Thumb,The Rolling Stones,8/24/24,READY-TO-START
Under The Milky Way,The Church,5/23/25,AVAILABLE
Watching the Wheels,John Lennon,10/16/25,AVAILABLE
We May Never Pass This Way (Again),Seals & Crofts,12/2/22,AVAILABLE
What I Like About You,The Romantics,2/26/25,AVAILABLE
What's Up?,4 Non Blondes,8/24/25,BACKLOG
What's Your Name,Lynyrd Skynyrd,7/28/24,BACKLOG
Whatcha Gonna Do?,Pablo Cruise,6/6/22,BACKLOG
While My Guitar Gently Weeps,The Beatles,10/22/25,READY-TO-START
Year of the Cat,Al Stewart,7/22/22,AVAILABLE
You Belong with Me,Taylor Swift,7/17/22,BACKLOG
You Can Do Magic,America,7/3/22,READY-TO-START
You Don't Mess Around with Jim,Jim Croce,12/1/23,BACKLOG
You Get What You Give,The New Radicals,7/5/22,BACKLOG
You May Be Right,Billy Joel,5/14/24,AVAILABLE
You Wreck Me,Tom Petty,3/23/26,AVAILABLE
Our House,CSNY
Take It Easy On Me,Little River Band,,WISH-LIST
Waiting On A Friend,The Rolling Stones,,WISH-LIST
Looking For Love,Johnny Lee,,WISH-LIST
