TITLE,ARTIST,KEY,DURATION,TEMPO,COUNTIN,BACKING,NORD,ROLAND,VE,PERFORMANCE KEY,TIME SIGNATURE,SONG ID,SONG LABEL,ENERGY LEVEL,VOCAL INTENSITY,GENRE PRIMARY,GENRE SECONDARY,SING ALONG
Do It Again,Beach Boys,Eb,,,,,,,,,,ABC:B:BeachBoys:DoItAgain,,7,FULL,Pop,Surf Rock,false
Forever,Dennis Wilson / Beach Boys,D,,,,,,,,,,ABC:B:BeachBoys:Forever,,2,FULL,Pop,Ballad,false
"Fun, Fun, Fun",Beach Boys,D,3:00,156,,,M14,,,D,,ABC:B:BeachBoys:FunFunFun,,8,FULL,Surf Rock,,true
Golden Slumbers / Carry That Weight,Beatles,Gb,,,,,,,,,,ABC:B:Beatles:GoldenSlumbers-CarryThatWeight,,5,FULL,Rock,Pop,false
Golden Slumbers / Carry That Weight,Beatles,E,2:30,,,,,,,E,,ABC:B:Beatles:GoldenSlumbers-CarryThatWeight-e,,5,FULL,Rock,Pop,false
Here Comes The Sun,The Beatles,A,,,,,,,,,,ABC:B:Beatles:HereComesTheSun,,5,FULL,Pop Rock,,true
Here Comes The Sun,The Beatles,A,,,,,,,,,,ABC:B:Beatles:HereComesTheSun-c,,5,FULL,Pop Rock,,true
Here Comes The Sun,The Beatles,C,,,,,,,,,,ABC:B:Beatles:HereComesTheSun-c-jeff,,5,FULL,Pop Rock,,true
Please Mr. Postman,The Beatles,A,2:00,122,,,,,,,,ABC:B:Beatles:PleaseMrPostman,,7,FULL,Pop,Motown,false
Real Love,The Beatles,C,,,,,,,,,,ABC:B:Beatles:RealLove,,4,FULL,Pop,,false
Twist & Shout,Beatles,D,2:10,128,,,???,,,,,ABC:B:Beatles:TwistAndShout,,9,FULL,Rock and Roll,,true
You Wont See Me,The Beatles,A,3:22,116,,,,,,,,ABC:B:Beatles:YouWontSeeMe,,5,FULL,Pop Rock,,false
Fanny Be Tender With My Love,Bee Gees,E,4:00,97,,,,,,,,ABC:B:BeeGees:FannyBeTenderWithMyLove,,3,FULL,Pop,Ballad,false
How Deep Is Your Love,Bee Gees,Eb,3:30,103,,,M11,,,,,ABC:B:BeeGees:HowDeepIsYourLove,,3,FULL,Pop,Disco,true
Run To Me,Bee Gees,A,,,,,,,,,,ABC:B:BeeGees:RunToMe,,3,FULL,Pop,Ballad,false
