TITLE,ARTIST,KEY,DURATION,TEMPO,COUNTIN,BACKING,NORD,ROLAND,VE,PERFORMANCE KEY,TIME SIGNATURE,SONG ID,SONG LABEL,ENERGY LEVEL,VOCAL INTENSITY,GENRE PRIMARY,GENRE SECONDARY,SING ALONG
Rocket Man,Elton John,G,3:40,68,8,,N12,,,,,DEF:E:EltonJohn:RocketMan,,4,FULL,Pop,,true
Tiny Dancer,Elton John,C,5:50,72,8,,P55,,,A,,DEF:E:EltonJohn:TinyDancer,Tiny  Dancer,4,FULL,Pop,,true
Tiny Dancer,Elton John,A,5:50,72,8,,P55,,,A,,DEF:E:EltonJohn:TinyDancer-a,Tiny  Dancer,4,FULL,Pop,,true
Burning Love,Elvis,D,,144,,,,,,,,DEF:E:Elvis:BurningLove,,7,FULL,Rock and Roll,,false
I'd Really Love To See You Tonight,England Dan / John Ford Coley,F,,,,,,,,,,DEF:E:EnglandDanJohnFordColey:IdReallyLoveToSeeYouTonight,,3,FULL,Soft Rock,Ballad,false
Change The World,Eric Clapton,E,3:30,97,,,,,,,,DEF:E:EricClapton:ChangeTheWorld,,3,FULL,Pop,Ballad,false
Cocaine,Eric Clapton,E,,,,,,,,,,DEF:E:EricClapton:Cocaine,,6,FULL,Rock,Blues Rock,false
I Shot the Sheriff,Eric Clapton,Gm,3:50,94,4,RC,P54,A052,,Gm,,DEF:E:EricClapton:IShotTheSheriff,,6,FULL,Reggae,,false
Layla,Eric Clapton,Dm,4:00,94,4,,O55,,,Dm,,DEF:E:EricClapton:Layla,,7,FULL,Rock,Blues Rock,true
Nobody Knows You When You're Down And Out,Eric Clapton,C,3:50,89,4,,N45,,,C,,DEF:E:EricClapton:NobodyKnowsYou,,3,FULL,Blues,,false
Over the Rainbow,Eric Clapton,E,,,,,,,,,,DEF:E:EricClapton:OverTheRainbow,,2,FULL,Ballad,,false
San Francisco Bay Blues,Eric Clapton,C,3:00,162,,,,,,,,DEF:E:EricClapton:SanFranciscoBayBlues,,5,FULL,Blues,Folk,false
Downhome Blues,Etta James,G,4:30,85,4,RC,P55,,,,,DEF:E:EttaJames:DownhomeBlues,Down  Blues,5,FULL,Blues,,false
You Are The Woman,Firefall,A,3:30,120,,,,,,,,DEF:F:Firefall:YouAreTheWoman,,4,FULL,Soft Rock,,false
Don't Stop,Fleetwood Mac,E,3:00,119,0,,N54,,,,,DEF:F:FleetwoodMac:DontStop,,7,FULL,Rock,Pop Rock,true
Go Your Own Way,Fleetwood Mac,F,3:00,106,???,,???,,,,,DEF:F:FleetwoodMac:GoYourOwnWay,,7,FULL,Rock,,true
Landslide,Fleetwood Mac,Eb,,,,,,,,Eb,,DEF:F:FleetwoodMac:Landslide,,2,FULL,Folk Rock,Ballad,true
Landslide,Fleetwood Mac,C,,,,,,,,,,DEF:F:FleetwoodMac:Landslide-c,,2,FULL,Folk Rock,Ballad,true
Landslide,Fleetwood Mac,Eb,,,,,,,,Eb,,DEF:F:FleetwoodMac:Landslide-lyrics,,2,FULL,Folk Rock,Ballad,true
Say That You Love Me,Fleetwood Mac,A,3:00,128,4,,N12,,,A,,DEF:F:FleetwoodMac:SayThatYouLoveMe,,5,FULL,Rock,,false
What's Up,4 Non Blondes,A,4:00,67,4,RC,,,,,,DEF:F:FourNonBlondes:WhatsUp,Whats  Up,6,FULL,Alternative,Pop Rock,true
Much Too Young To Feel This Damnn Old,Garth Brooks,D,2:33,162,4,RC,O42,,,,,GHI:G:GarthBrooks:MuchTooYoungToFeel,MuchToYoung,5,FULL,Country,,false
Before My Heart Finds Out,Gene Cotton,F,2:10,123,,,,,,,,GHI:G:GeneCotton:BeforeMyHeartFindsOut,,4,FULL,Soft Rock,,false
In Too Deep,Genesis,G,,,,,,,,,,GHI:G:Genesis:InTooDeep,,3,FULL,Pop,Ballad,false
That's All,Genesis,Em,4:00,88,4,RC,P53,,,,,GHI:G:Genesis:ThatsAll,Thats  All,5,FULL,Pop Rock,,false
My Sweet Lord,George Harrison,Em,3:55,110,,,,,,,,GHI:G:GeorgeHarrison:MySweetLord,,5,FULL,Rock,,true
Something,George Harrison,C,,132,,,,,,,,GHI:G:GeorgeHarrison:Something,,3,FULL,Pop,Ballad,false
While My Guitar Gently Weeps,George Harrison,Am,3:47,123,4,RC,,,,,,GHI:G:GeorgeHarrison:WhileMyGuitarGentlyWeeps,GuitarWeeps,5,FULL,Rock,,false
Careless Whisper,George Michael,Dm,3:00,80,,,,,,,,GHI:G:GeorgeMichael:CarelessWhisper,,4,FULL,Pop,R&B,true
Faith,George Michael,B,,,,,,,,,,GHI:G:GeorgeMichael:Faith,,7,FULL,Pop,,true
As Far As It Goes,George Strait,C,3:10,137,,,,,,,4/4,GHI:G:GeorgeStrait:AsFarAsItGoes,,4,FULL,Country,,false
As Far As It Goes,George Strait,D,3:10,137,,,,,,,4/4,GHI:G:GeorgeStrait:AsFarAsItGoes-d,,4,FULL,Country,,false
Get Down,Gilbert O'Sullivan,Bb,,,,,,,,,,GHI:G:GilbertOSullivan:GetDown,,6,FULL,Pop,,false
Til I Hear It From You,Gin Blossoms,A,3:40,124,8,RC,,,,G,,GHI:G:GinBlossoms:TilIHearItFromYou,,6,FULL,Alternative,Pop Rock,false
Til I Hear It From You,Gin Blossoms,G,3:40,124,8,RC,,,,G,,GHI:G:GinBlossoms:TilIHearItFromYou-g,,6,FULL,Alternative,Pop Rock,false
The One You Love,Glenn Frey,Em,3:15,80,,,,,,,,GHI:G:GlennFrey:TheOneYouLove,,3,FULL,Soft Rock,Ballad,false
I Will Survive,Gloria Gaynor,Am,3:20,117,,,24,,,,,GHI:G:GloriaGaynor:IWillSurvive,,8,FULL,Disco,,true
Carefree Highway,Gordon Lightfoot,D,2:20,85,,,N52,,,E,,GHI:G:GordonLightfoot:CarefreeHighway,,4,FULL,Folk,,false
Carefree Highway,Gordon Lightfoot,E,2:20,85,,,,,,E,,GHI:G:GordonLightfoot:CarefreeHighway-e,,4,FULL,Folk,,false
Friend of the Devil,Grateful Dead,G,3:10,110,,,,,,,,GHI:G:GratefulDead:FriendOfTheDevil,,4,FULL,Folk Rock,,false
Good Riddance (Time of Your Life),Green Day,G,2:10,95,,,,,,,,GHI:G:GreenDay:GoodRiddance,,3,FULL,Alternative,Punk,true
Breakup Song,Greg Kihn,Am,2:49,136,4,,P41,,,F#m,,GHI:G:GregKihn:BreakupSong,Brkup Song,7,FULL,Rock,,false
Breakup Song,Greg Kihn,F#m,3:00,136,4,,P41,,,F#m,,GHI:G:GregKihn:BreakupSong-f#m,Brkup Song,7,FULL,Rock,,false
Undun,Guess Who,Em,3:30,100,,,,,,,,GHI:G:GuessWho:Undun,,5,FULL,Rock,,false
Hearts Are Gonna Roll,Hal Ketchum,D,3:15,100,8,RC,P21,,P13,,,GHI:H:HalKetchum:HeartsAreGonnaRoll,HeartsGonna,6,FULL,Country,,false
Past The Point Of Rescue,Hal Ketchum,Em,2:43,96,8,RC,O:24,,,Em,,GHI:H:HalKetchum:PastThePointOfRescue,Past  Point,3,FULL,Country,,false
Small Town Saturday Night,Hal Ketchum,G,2:30,100,8,RC,,,,G,,GHI:H:HalKetchum:SmallTownSaturdayNight,Small  Town,6,FULL,Country,,false
Softer Than a Whisper,Hal Ketchum,C,3:05,95,,,,,,,,GHI:H:HalKetchum:SofterThanAWhisper,,3,FULL,Country,,false
Everything Your Heart Desires,Hall & Oates,A,,108,,,,,,,,GHI:H:HallAndOates:EverythingYourHeartDesires,,5,FULL,Pop Rock,,false
I Can't Go For That,Hall & Oates,Eb,,,,,,,,,,GHI:H:HallAndOates:ICantGoForThat,,6,FULL,Pop,R&B,false
Rich Girl,Hall & Oates,F,,,,,,,,,,GHI:H:HallAndOates:RichGirl,,6,FULL,Pop,,false
All My Rowdy Friends Are Coming Over Tonight,Hank Williams Jr.,G,3:30,120,,,,,,,,GHI:H:HankWilliamsJr:AllMyRowdyFriends,,7,FULL,Country,,true
Tell It Like It Is,Heart,F,3:50,67,,,,,,,6/8,GHI:H:Heart:TellItLikeItIs,,5,FULL,Rock,,false
Always and Forever,Heatwave,D,,,,,,,,,,GHI:H:Heatwave:AlwaysAndForever,,3,FULL,Soul,Ballad,false
Shannon,Henry Gross,F,,,,,,,,,,GHI:H:HenryGross:Shannon,,2,FULL,Pop,Ballad,false
The Air That I Breathe,The Hollies,C,,,,,,,,,,GHI:H:Hollies:TheAirThatIBreathe,,3,FULL,Pop,Ballad,false
And We Danced,The Hooters,A,3:45,144,8,RC,P31,,,G,,GHI:H:Hooters:AndWeDanced,And WeDance,7,FULL,Rock,,false
And We Danced,The Hooters,G,3:45,144,8,RC,P31,,,G,,GHI:H:Hooters:AndWeDanced-g,And WeDance,7,FULL,Rock,,false
Do You Believe In Love,Huey Lewis and the News,G,,,,,,,,,,GHI:H:HueyLewis:DoYouBelieveInLove,,7,FULL,Rock,Pop,false
Don't You Want Me,The Human League,Am,,,,,,,,,,GHI:H:HumanLeague:DontYouWantMe,,7,FULL,Synth Pop,New Wave,true
Need You Tonight,INXS,C,2:55,109,,,,,,,,GHI:I:INXS:NeedYouTonight,,7,FULL,Rock,,true
Call Me The Breeze,J.J. Cale,F#,3:10,180,4,BB,O55,,,,,JKL:J:JJCale:CallMeTheBreeze,,5,FULL,Blues Rock,,false
Call Me The Breeze,J.J. Cale,G,3:10,180,4,BB,O55,,,,,JKL:J:JJCale:CallMeTheBreeze-g,,5,FULL,Blues Rock,,false
Sensitive Kind,JJ Cale,Dm,5:00,101,,,N11,,,,,JKL:J:JJCale:SensitiveKind,,4,FULL,Blues Rock,,false
Running On Empty,Jackson Brown,A,4:10,137,8,RC,P55,,,,,JKL:J:JacksonBrowne:RunningOnEmpty,Run OnEmpty,6,FULL,Rock,,false
Running On Empty - G,Jackson Brown,G,4:10,137,8,RC,P55,,,G,,JKL:J:JacksonBrowne:RunningOnEmpty-g,Run OnEmpty,6,FULL,Rock,,false
Stay,Jackson Browne,G,3:00,106,,,P25,,,,,JKL:J:JacksonBrowne:Stay,,5,FULL,Rock,,false
Get Up,James Brown,Eb,3:15,140,,,,,,,,JKL:J:JamesBrown:GetUp,,7,FULL,Funk,,true
I'm Yours,Jason Mraz,B,3:45,75,,,,,,,,JKL:J:JasonMraz:ImYours,,5,FULL,Pop,Reggae,true
Who Will Save My Soul,Jewel,Am,,126,,,,,,,,JKL:J:Jewel:WhoWillSaveMySoul,,3,FULL,Folk,Singer-Songwriter,false
Bad Bad Leroy Brown,Jim Croce,G,2:35,148,8,RC,O55,,,,,JKL:J:JimCroce:BadBadLeroyBrown,BadBadLeroy,6,FULL,Folk Rock,,true
You Don't Mess Around With Jim,Jim Croce,F,,164,,,,,,,,JKL:J:JimCroce:YouDontMessAroundWithJim,,5,FULL,Folk Rock,,false
Bye Bye,Jo Dee Messina,G,3:12,134,8,RC,O24,,,Bb (+3),,JKL:J:JoDeeMessina:ByeBye,ByeBye,7,FULL,Country,,false
Bye Bye,Jo Dee Messina,Bb,3:12,134,8,RC,O24,,,Bb,,JKL:J:JoDeeMessina:ByeBye-bb,ByeBye,7,FULL,Country,,false
Feelin' Alright,Joe Cocker,C,4:00,88,,,,,,,,JKL:J:JoeCocker:FeelinAlright,,6,FULL,Rock,Soul,false
The Letter,Joe Cocker,Bbm,3:20,90,4,RC,P55,A058,,,,JKL:J:JoeCocker:TheLetter,,6,FULL,Rock,Soul,false
The Letter,Joe Cocker,Gm,3:20,90,4,RC,P55,A058,,,,JKL:J:JoeCocker:TheLetter-gm,,6,FULL,Rock,Soul,false
Unchain My Heart,Joe Cocker,Am,5:07,118,0,RC,O:24,,,,,JKL:J:JoeCocker:UnchainMyHeart,Unchn Heart,7,FULL,Rock,Soul,true
Unchain My Heart (Extended),Joe Cocker,Am,5:07,118,0,RC,O:24,,,,,JKL:J:JoeCocker:UnchainMyHeartExtended,Unchn Heart,7,FULL,Rock,Soul,true
Steppin' Out,Joe Jackson,F#,3:45,160,,,,,,,,JKL:J:JoeJackson:SteppinOut,,6,FULL,Pop Rock,,false
Steppin' Out,Joe Jackson,Eb,3:45,160,,,,,,,,JKL:J:JoeJackson:SteppinOut-eb,,6,FULL,Pop Rock,,false
Memphis in the Meantime,John Hiatt,E,,,,,,,,,,JKL:J:JohnHiatt:MemphisInTheMeantime,,6,FULL,Rock,Blues Rock,false
Beautiful Boy,John Lennon,D,,100,,,,,,,,JKL:J:JohnLennon:BeautifulBoy,,2,FULL,Pop,Ballad,false
Jealous Guy,John Lennon,G,3:00,80,,,,,,,,JKL:J:JohnLennon:JealousGuy,,3,FULL,Pop,Ballad,false
Oh My Love,John Lennon,A,2:45,64,,,,,,,,JKL:J:JohnLennon:OhMyLove,,2,FULL,Pop,Ballad,false
Watching The Wheels,John Lennon,C,3:30,83,4,RC,A3(M14),,,,,JKL:J:JohnLennon:WatchingTheWheels,Watch Wheels,3,FULL,Pop,,false
Watching The Wheels,John Lennon,A,3:30,83,4,RC,A3(M14),,,,,JKL:J:JohnLennon:WatchingTheWheels-a,Watch Wheels,3,FULL,Pop,,false
Woman,John Lennon,Eb,3:00,159,,,,,,,,JKL:J:JohnLennon:Woman,,3,FULL,Pop,Ballad,false
I’m Gonna Find Another You,John Mayer,A,3:00,150,,,,,,,,JKL:J:JohnMayer:ImGonnaFindAnotherYou,,5,FULL,Pop Rock,Blues Rock,false
Ain't Even Done With The Night,John Mellencamp,B,4:10,120,8,RC,N12,,,,,JKL:J:JohnMellencamp:AintEvenDoneWithTheNight,Aint  Done,7,FULL,Rock,,false
Ain't Even Done With The Night,John Mellencamp,A,4:10,120,8,RC,N12,,,,,JKL:J:JohnMellencamp:AintEvenDoneWithTheNight-a,Aint  Done,7,FULL,Rock,,false
Cherry Bomb,John Mellencamp,G,4:10,113,4,RC,O55,,,G,,JKL:J:JohnMellencamp:CherryBomb,,6,FULL,Rock,,false
Jack and Diane,John Mellencamp,A,3:40,104,4,,,,,A,,JKL:J:JohnMellencamp:JackandDiane,,6,FULL,Rock,,true
R.O.C.K. In The U.S.A,John Mellencamp,E,2:55,166,8,RC,,,,,,JKL:J:JohnMellencamp:ROCKInTheUSA,RockIn USA,8,FULL,Rock,,true
Let Her In,John Travolta,E,3:45,120,,,,,,,,JKL:J:JohnTravolta:LetHerIn,,4,FULL,Pop,,false
Looking for Love,Johnny Lee,E,,120,,,,,,,,JKL:J:JohnnyLee:LookingForLove,,6,FULL,Country,,false
Don't Forget (Welcome to Wrexham),Jon Hume,C,,,,,,,,,,JKL:J:JonHume:DontForget,,,,,,
Dirt On My Boots,Jon Pardi,C#m,3:10,90,4,,P55,,,,,JKL:J:JonPardi:DirtOnMyBoots,,7,FULL,Country,,false
Hey California,Jon Pardi,Em,3:40,130,8,RC,P55,,,,,JKL:J:JonPardi:HeyCalifornia,Hey   Cali,6,FULL,Country,,false
Tuscon Too Late,Jordan Davis,G,2:45,106,4,RC,P33,,,,,JKL:J:JordanDavis:TusconTooLate,,4,FULL,Country,,false
Jacksonville,Josh Turner,C,3:30,100,4,BB,,,,,,JKL:J:JoshTurner:Jacksonville,,4,FULL,Country,,false
Jacksonville,Josh Turner,D,3:30,100,4,BB,,,,,,JKL:J:JoshTurner:Jacksonville-d,,,,,,
Over the Rainbow,Judy Garland,Eb,,,,,,,,,,JKL:J:JudyGarland:OverTheRainbow,,2,FULL,Ballad,,false
Over the Rainbow,Judy Garland,Bb,,,,,,,,,,JKL:J:JudyGarland:OverTheRainbow-bb,,2,FULL,Ballad,,false
Over the Rainbow,Judy Garland,E,,,,,,,,,,JKL:J:JudyGarland:OverTheRainbow-e,,2,FULL,Ballad,,false
Shake Your Booty,KC & the Sunshine Band,Cm,,,,,,,,,,JKL:K:KCSunshineBand:ShakeYourBooty,,9,FULL,Disco,,true
Black Horse and the Cherry Tree,KT Tunstall,Em,2:20,103,8,,,,,,,JKL:K:KTTunsall:BlackHorseAndTheCherryTree,,6,FULL,Folk Rock,,false
Suddenly I See,KT Tunstall,D,,,,,,,,,,JKL:K:KTTunsall:SuddenlyISee,,7,FULL,Rock,,false
Deeper Well,Kacy Musgraves,C,3:30,111,,,,,,,,JKL:K:KaceyMusgraves:DeeperWell,,2,FULL,Country,Folk,false
Golden Hour,Kasey Musgraves,A,,,,,,,,,,JKL:K:KaceyMusgraves:GoldenHour,,3,FULL,Country,,false
Rainbow,Kacy Musgraves,Eb,2:50,65,,,P23,,,,,JKL:K:KaceyMusgraves:Rainbow,,2,FULL,Country,Ballad,false
Slow Burn,Kacy Musgraves,G,3:00,148,4,,O24,,,,,JKL:K:KaceyMusgraves:SlowBurn,,3,FULL,Country,,false
Bury Me In Georgia,Kane Brown,Gm,3:00,80,,,,,,,,JKL:K:KaneBrown:BuryMeInGeorgia,,6,FULL,Country,,false
One Mississippi,Kane Brown,Am,3:00,100,,,,,,Am,,JKL:K:KaneBrown:OneMississippi,,4,FULL,Country,,false
I'm Easy,Keith Carradine,C,3:00,120,,,,,,,,JKL:K:KeithCarradine:ImEasy,,2,FULL,Folk,Ballad,false
The Fighter,Keith Urban,Bm,2:40,,8,RC,,,,,,JKL:K:KeithUrban:TheFighter,The   Fight,7,FULL,Country,,false
Tonight I Wanna Cry,Keith Urban,G,3:59,104,,,,,,,,JKL:K:KeithUrban:TonightIWannaCry,,3,FULL,Country,,false
Breakaway,Kelly Clarkson,Am,3:45,,6,RC,A01,,,,3/4,JKL:K:KellyClarkson:Breakaway,Break  Away,7,FULL,Pop Rock,,true
Since U Been Gone,Kelly Clarkson,G,3:10,,8,RC,A01,,,,,JKL:K:KellyClarkson:SinceUBeenGone,SinceUGone,8,FULL,Pop Rock,,true
Everyone She Knows,Kenny Chesney,F,,,,,,,,,,JKL:K:KennyChesney:EveryoneSheKnows,,4,FULL,Country,,false
Dancin' In The Moonlight,King Harvest,Cm,3:00,110,,,,,,,,JKL:K:KingHarvest:DancinInTheMoonlight,,7,FULL,Pop Rock,,true
Get Down On It,Kool and the Gang,Em,4:00,,,,,,,,,JKL:K:KoolAndTheGang:GetDownOnIt,,7,FULL,Funk,Disco,true
4x4xU,Lainey Wilson,G,,,,,,,,,,JKL:L:LaineyWilson:4x4xU,,5,FULL,Country,,false
You Say,Lauren Daigle,F,4:00,148,,,M25,,,,,JKL:L:LaurenDaigle:YouSay,,3,FULL,Pop,Christian,false
Falling,Leblanc & Carr,Am,,,,,,,,,,JKL:L:LeblancCarr:Falling,,3,FULL,Soft Rock,Ballad,false
Beyond,Leon Bridges ( feat Luke Combs ),G,,,,,,,,,,JKL:L:LeonBridges:Beyond,,3,FULL,Soul,Ballad,false
Back In The USA,Linda Ronstadt,G,3:00,165,4,RC,P55,,,,,JKL:L:LindaRonstadt:BackInTheUSA,BackIn USA,7,FULL,Rock,,false
Heat Wave,Linda Ronstadt,Eb,2:45,165,8,RC,P55,,,,,JKL:L:LindaRonstadt:HeatWave,Heat  Wave,7,FULL,Motown,Pop Rock,false
Its So Easy,Linda Ronstadt,E,2:45,120,,,,,,,,JKL:L:LindaRonstadt:ItsSoEasy,,6,FULL,Rock,,false
Long Long Time,Linda Ronstadt,Em,,,,,,,,,,JKL:L:LindaRonstadt:LongLongTime,,3,FULL,Country,Ballad,false
Long Long Time,Linda Ronstadt,Am,,,,,,,,,,JKL:L:LindaRonstadt:LongLongTime-am,,3,FULL,Country,Ballad,false
Deep River Woman,Lionel Richie,G,,135,,,,,,,,JKL:L:LionelRichie:DeepRiverWoman,,4,FULL,Country,Soul,false
Don't Expect Me To Be Your Friend,Lobo,C,3:30,78,8,,,,,,,JKL:L:Lobo:DontExpectMeToBeYourFriend,,4,FULL,Soft Rock,,false
I'd Love You To Want Me,Lobo,G,3:45,,8,,,,,,,JKL:L:Lobo:IdLoveYouToWantMe,,3,FULL,Soft Rock,Ballad,false
Me And You And A Dog Named Boo,Lobo,Bb,3:30,90,,,,,,,,JKL:L:Lobo:MeAndYouAndADogNamedBoo,,4,FULL,Folk,Soft Rock,false
Brandy (You're A Fine Girl),Looking Glass,E,3:00,126,8,RC,N51,,,E,,JKL:L:LookingGlass:Brandy,Brandy,4,FULL,Pop Rock,,true
Te Ni Nee Ni,Lou Ann Barton,E,,,,,,,,,,JKL:L:LouAnnBarton:TeNiNeeNi,,6,FULL,Blues,,false
Dream A Little Dream Of Me,Louis Armstrong,G,,133,,,,,,,,JKL:L:LouisArmstrong:DreamALittleDream,,2,FULL,Jazz,Ballad,false
Dream A Little Dream Of Me,Louis Armstrong,C,1:10,133,,,,,,,,JKL:L:LouisArmstrong:DreamALittleDream-c,,2,FULL,Jazz,Ballad,false
What A Wonderful World,Louis Armstrong,F,,108,,,,,,,,JKL:L:LouisArmstrong:WhatAWonderfulWorld,,2,FULL,Jazz,Ballad,true
What A Wonderful World,Louis Armstrong,Bb,,108,,,,,,,,JKL:L:LouisArmstrong:WhatAWonderfulWorld-bb,,2,FULL,Jazz,Ballad,true
Play It Again,Luke Bryan,C,,,,,,,,,,JKL:L:LukeBryan:PlayItAgain,,6,FULL,Country,,false
Be By You,Luke Combs,C,2:55,94,4,RC,,P33,,,,JKL:L:LukeCombs:BeByYou,,4,FULL,Country,,false
Can't Tell Me I'm Wrong,Luke Combs,Bb,2:50,126,6,RC,P33,,,,,JKL:L:LukeCombs:CantTellMeImWrong,,6,FULL,Country,,false
Just Like Heaven,The Cure / Lumineers,A,,,,,,,,,,JKL:L:Lumineers:JustLikeHeaven,,5,FULL,Folk Rock,Alternative,false
Sweet Home Alabama,Lynard Skynard,D,,,,,,,,,,JKL:L:LynyrdSkynyrd:SweetHomeAlabama,,8,FULL,Southern Rock,,true
What's Your Name,Lynyrd Skynyrd,G,3:10,135,8,RC,,,,,,JKL:L:LynyrdSkynyrd:WhatsYourName,Whats YrNam,6,FULL,Southern Rock,,false
I Wish You Would,Mackenzie Carpenter & Midland,D,3:10,,,,,,,,,MNO:M:MackenzieCarpenter:IWishYouWould,,5,FULL,Country,,false
La Isla Bonita,Madonna,C#m,4:00,100,8,RC,P54,,,C#m,,MNO:M:Madonna:LaIslaBonita,LaIslaBonita,7,FULL,Pop,Latin Pop,false
Dream A Little Dream Of Me,Mama Cass,C,,133,,,,,,,,MNO:M:MamaCass:DreamALittleDreamOfMe,,2,FULL,Pop,Jazz,false
One Day She’s Here,Marcus King Band,Bm,,,,,,,,,,MNO:M:MarcusKing:OneDayShesHere,,5,FULL,Blues Rock,,false
"Someday, Someway",Marchall Crenshall,A,2:45,155,8,RC,,,,,,MNO:M:MarshallCrenshaw:SomedaySomeway,,6,FULL,Pop Rock,,false
Can't You See,Marshall Tucker Band,D,5:00,164,4,,N34,,,A,,MNO:M:MarshallTuckerBand:CantYouSee,,5,FULL,Southern Rock,,true
Can't You See,Marshall Tucker Band,A,5:00,164,4,,N34,,,A,,MNO:M:MarshallTuckerBand:CantYouSee-a,,5,FULL,Southern Rock,,true
Fire On The Mountain,Marshall Tucker Band,Em,,,,,,,,,,MNO:M:MarshallTuckerBand:FireOnTheMoutain,,6,FULL,Southern Rock,,false
Heard It in a Love Song,Marshall Tucker Band,D,4:20,110,,,,,,,,MNO:M:MarshallTuckerBand:HeardItInALoveSong,,5,FULL,Southern Rock,,false
I Feel Lucky,Mary Chapin Carpenter,B,3:20,120,8,RC,A01,,,,,MNO:M:MaryChapinCarpenter:IFeelLucky,IFeel Lucky,6,FULL,Country,,false
The Walk,Mayer Hawthorne,A,,,,,,,,,,MNO:M:MayerHawthorne:TheWalk,,6,FULL,Soul,,false
Are You Hungry Tonight?,Michael Sadri,C,2:50,66,,,,,,,3/4,MNO:M:MichaelSadri:AreYouHungryTonight,,,,,,
Going To Montana,"Michael Sadri, Scott Davidson",Am,3:30,136,,,,,,,,MNO:M:MichaelSadri:GoingToMontana,,,,,,
Going To Montana - Original,Michael Sadri,C,,,,,,,,,,MNO:M:MichaelSadri:GoingToMontana-orig,,,,,,
Cheatin' Songs,Midland,D,3:10,110,,,,,,,,MNO:M:Midland:CheatinSong,,6,FULL,Country,,false
Drinkin' Problem,Midland,A,3:00,102,4,RC,P25,,,,,MNO:M:Midland:DrinkingProblem,DrnkinPrblm,6,FULL,Country,,true
Fourteen Gears,Midland,D,,,,,,,,,,MNO:M:Midland:FourteenGears,,5,FULL,Country,,false
Old Fashioned Feeling,Midland,G,,,,,,,,,,MNO:M:Midland:OldFashionedFeeling,,4,FULL,Country,,false
Roll Away,Midland,C,,,,,,,,,,MNO:M:Midland:RollAway,,5,FULL,Country,,false
Take Her Off Your Hands,Midland,D,,,,,,,,,,MNO:M:Midland:TakeHerOffYourHands,,5,FULL,Country,,false
Vegas,Midland,D,3:28,133,,,,,,,,MNO:M:Midland:Vegas,,6,FULL,Country,,false
All I Need Is A Miracle,Mike and the Mechanics,F,3:10,120,8,RC,P15,,,,,MNO:M:Mike+TheMechanics:AllINeedIsAMiracle,All I Need,6,FULL,Pop Rock,,false
All I Need Is A Miracle,Mike and the Mechanics,D,3:10,120,8,RC,15,,,,,MNO:M:Mike+TheMechanics:AllINeedIsAMiracle-a,All I Need,6,FULL,Pop Rock,,false
Your Love Stays With Me,Mike Reid,E,,,,,,,,,,MNO:M:MikeReid:YourLoveStaysWithMe,,,,,,
Butterfly Fly Away,Miley Cyrus / Billy Ray Cyrus,Eb,2:35,136,,,P23,,,,,MNO:M:MileyCyrus:ButterflyFlyAway,,3,FULL,Pop,Ballad,false
Flowers,Miley Cyrus,Am,3:00,122,8,,N21,,,,,MNO:M:MileyCyrus:Flowers,,6,FULL,Pop,,true
Devil With The Blue Dress,Mitch Ryder and The Detroit Wheels,C,,,,,,,,,,MNO:M:MitchRyder:DevilWithTheBlueDress,,8,FULL,Rock,,true
I Melt With You,Modern English,C,3:55,156,8,RC,O55,,,,,MNO:M:ModernEnglish:IMeltWithYou,I MeltWithU,7,FULL,New Wave,,true
Love Somebody,Morgan Wallen,Em,3:00,120,8,RC,P52,,,,,MNO:M:MorganWallen:LoveSomebody,Love  Smbody,4,FULL,Country,,false
Man Made A Bar,Morgan Wallen (Eric Church),C,,105,,,,,,,,MNO:M:MorganWallen:ManMadeABar,,5,FULL,Country,,false
Man Made A Bar,Morgan Wallen (Eric Church),E,,105,,,,,,,,MNO:M:MorganWallen:ManMadeABar-e,,5,FULL,Country,,false
More Than My Hometown,Morgan Wallen,F,3:10,126,,,,,,,4/4,MNO:M:MorganWallen:MoreThanMyHometown,,5,FULL,Country,,false
More Than My Hometown,Morgan Wallen,G,3:10,126,,,,,,,4/4,MNO:M:MorganWallen:MoreThanMyHometown-g,,5,FULL,Country,,false
Sand In My Boots,Morgan Wallen,C,3:05,70,,,N52,,,,,MNO:M:MorganWallen:SandInMyBoots,,3,FULL,Country,,false
7 Summers,Morgan Wallen,C,3:10,102,4,,N24,,,,4/4,MNO:M:MorganWallen:SevenSummers,,3,FULL,Country,,false
Somebody's Problem,Morgan Wallen,F,2:10,97,,,,,,,,MNO:M:MorganWallen:SomebodysProblem,,6,FULL,Country,,false
Caldonia,Muddy Waters,G,,120,,,,,,,,MNO:M:MuddyWaters:Caldonia,,6,FULL,Blues,,false
These Boots Are Made For Walkin',Nancy Sinatra,E,2:20,84,4,,,,,E,,MNO:N:NancySinatra:TheseBootsWereMadeForWalkin,,6,FULL,Pop,,true
L-O-V-E,Nat King Cole,G,,78,,,,,,,,MNO:N:NatKingCole:L_O_V_E,,5,FULL,Jazz,Pop,false
L-O-V-E,Nat King Cole,C,,78,,,,,,,,MNO:N:NatKingCole:L_O_V_E-C,,5,FULL,Jazz,Pop,false
Torn,Natalie Imbruglia,F,3:35,96,4,RC,P51,,,,,MNO:N:NatalieImbruglia:Torn,Torn,5,FULL,Pop Rock,,true
Forever In Blue Jeans,Neil Diamond,A,,,,,,,,,,MNO:N:NeilDiamond:ForeverInBlueJeans,,6,FULL,Pop,,false
