ARTIST,BACKING,CAPO,CHORDPRO FILENAME,COUNTIN,DURATION,KEY,NORD,PERFORMANCE KEY,TEMPO,TIME SIGNATURE,TITLE,VE,VERSION
The Beatles,,,./cho/ABC/B/Beatles/HereComesTheSun-C.cho,,,A,,,,,Here Comes The Sun,,
Blake Shelton,,,./cho/ABC/B/BlakeShelton/Footloose.cho,,,G,,,,,Footloose,,
Barrett Strong,,,./cho/ABC/B/BarrettStrong/Money.cho,4,3:45,E,O15,,,,Money (That's What I Want),,1.0
Bachman Turner Overdrive (BTO),,,./cho/ABC/B/BachmanTurnerOverdrive/TakinCareOfBusiness.cho,,4:50,C,N41,,130,,Takin' Care of Business,,
Bill Withers,,,./cho/ABC/B/BillWithers/LovelyDay.cho,,,E,,,98,,Lovely Day,,
Bob Dylan,,,./cho/ABC/B/BobDylan/LikeARollingStone.cho,,,C,,,,,Like A Rolling Stone,,
Bad English,,,./cho/ABC/B/BadEnglish/WhenISeeYouSmile.cho,,,G,,,,,When I See You Smile,,
Bellamy Brothers,,,./cho/ABC/B/BellamyBrothers/IfISaidYouHaveABeautifulBody.cho,,,E,,,,,If I Said You Have A Beautiful Body,,
Billy Currington,,,./cho/ABC/B/BillyCurrington/LetMeDownEasy.cho,,,G,,,,,Let Me Down Easy,,
Billy Joel,14,,./cho/ABC/B/BillyJoel/MyLife-c.cho,8,3:40,C,P32,,131,,My Life,,
Billy Joel,,,./cho/ABC/B/BillyJoel/Vienna-g#m.cho,,,G#m,,G#m,63,,Vienna - G#m,,
Billy Joel,,,./cho/ABC/B/BillyJoel/YouMayBeRight-g.cho,,4:00,G,,,150,,You May Be Right,,
Billy Joel,,,./cho/ABC/B/BillyJoel/SummerHighlandFalls.cho,,3:22,F,,,,,Summer Highland Falls,,
Billy Joel,,,./cho/ABC/B/BillyJoel/DontAskMeWhy.cho,,,Bb,,,99,,Don't Ask Me Why,,
Billy Joel,,,./cho/ABC/B/BillyJoel/YouMayBeRight.cho,4,4:00,A,N35,,150,,You May Be Right,,
Billy Joel,,,./cho/ABC/B/BillyJoel/PianoMan-old.cho,,,,,,,,Piano Man,,
Billy Joel,,,./cho/ABC/B/BillyJoel/PianoMan-a.cho,,4:40,Gb,,A,178,,Piano Man,,
Billy Joel,,,./cho/ABC/B/BillyJoel/Vienna.cho,,,Gm,,,,,Vienna,,
Billy Joel,14,,./cho/ABC/B/BillyJoel/MyLife.cho,8,3:40,D,P32,C,131,,My Life,,
Billy Joel,,,./cho/ABC/B/BillyJoel/PianoMan.cho,,4:40,C,,A,178,,Piano Man,,
Blues Brothers,,,./cho/ABC/B/BluesBrothers/HeyBartender.cho,,,A,,,,,Hey Bartender,,
Bob Welch,,,./cho/ABC/B/BobWelch/EbonyEyes-gm.cho,,2:51,Gm,,Gm,,,Ebony Eyes,,
Bob Welch,,,./cho/ABC/B/BobWelch/EbonyEyes.cho,,2:51,Am,,Gm,,,Ebony Eyes,,
Dennis Wilson / Beach Boys,,,./cho/ABC/B/BeachBoys/Forever.cho,,,D,,,,,Forever,,
Bread,,,./cho/ABC/B/Bread/Aubry.cho,,,G,,,,,Aubrey,,
Bob Seger,10,,./cho/ABC/B/BobSeger/AgainstTheWind-f.cho,4,3:50,F,M44,F,109,,Against the Wind,,
Bob Seger,,,./cho/ABC/B/BobSeger/AgainstTheWind.cho,4,4:00,G,M44,F,109,,Against the Wind,,
Bob Seger,,,./cho/ABC/B/BobSeger/TurnThePage.cho,,,Em,,,,,Turn The Page,,
Brian Wilson,,,./cho/ABC/B/BrianWilson/LoveAndMercy-g.cho,,3:10,G,N52,,,,Love and Mercy,,
Garth Brooks,13,,./cho/GHI/G/GarthBrooks/MuchTooYoungToFeel.cho,4,2:33,D,O42,,,,Much Too Young To Feel This Damnn Old,,
Gilbert O'Sullivan,,,./cho/GHI/G/GilbertOSullivan/GetDown.cho,,,Bb,,,,,Get Down,,
Gordon Lightfoot,,,./cho/GHI/G/GordonLightfoot/CarefreeHighway-e.cho,,2:20,E,,E,85,,Carefree Highway,,
Gordon Lightfoot,,,./cho/GHI/G/GordonLightfoot/CarefreeHighway.cho,,2:20,D,M13,E,85,,Carefree Highway,,
Greg Kihn,,,./cho/GHI/G/GregKihn/BreakupSong.cho,4,2:49,Am,P41,F#m,136,,Breakup Song,,
Greg Kihn,,,./cho/GHI/G/GregKihn/BreakupSong-f#m.cho,4,3:00,F#m,P41,F#m,136,,Breakup Song,,
Gloria Gaynor,,,./cho/GHI/G/GloriaGaynor/IWillSurvive.cho,,3:20,Am,024,,117,,I Will Survive,,
George Harrison,,,./cho/GHI/G/GeorgeHarrison/WhileMyGuitarGentlyWeeps.cho,,3:47,,,,123,,While My Guitar Gently Weeps,,
George Harrison,,,./cho/GHI/G/GeorgeHarrison/Something.cho,,,C,,,132,,Something,,
Gene Cotton,,,./cho/GHI/G/GeneCotton/BeforeMyHeartFindsOut.cho,,,F,,,123,,Before My Heart Finds Out,,
Guess Who,,,./cho/GHI/G/GuessWho/Undun.cho,,,Em,,,100,,Undun,,
Green Day,,,./cho/GHI/G/GreenDay/GoodRiddance.cho,,,G,,,95,,Good Riddance (Time of Your Life),,
George Strait,,,./cho/GHI/G/GeorgeStrait/AsFarAsItGoes-D.cho,,,D,,,137,4/4,As Far As It Goes,,
George Strait,,,./cho/GHI/G/GeorgeStrait/AsFarAsItGoes.cho,,,C,,,137,4/4,As Far As It Goes,,
Genesis,47,,./cho/GHI/G/Genesis/ThatsAll.cho,4,4:00,Em,P53,,88,,That's All,,
Genesis,,,./cho/GHI/G/Genesis/InTooDeep.cho,,,G,,,,,In Too Deep,,
Hal Ketchum,15,,./cho/GHI/H/HalKetchum/PastThePointOfRescue.cho,8,2:43,Em,O:24,Em,96,,Past The Point Of Rescue,,
Hal Ketchum,,,./cho/GHI/H/HalKetchum/SmallTownSaturdayNight.cho,,,C,,C,100,,Small Town Saturday Night,,
Hal Ketchum,,,./cho/GHI/H/HalKetchum/SofterThanAWhisper.cho,,,C,,,,,Softer Than a Whisper,,
Hal Ketchum,12,,./cho/GHI/H/HalKetchum/HeartsAreGonnaRoll.cho,8,3:15,D,P21,D,100,,Hearts Are Gonna Roll,,
Heatwave,,,./cho/GHI/H/Heatwave/AlwaysAndForever.cho,,,,,,,,Always and Forever,,
Heart,,,./cho/GHI/H/Heart/TellItLikeItIs.cho,,,F,,,100,6/8,Tell It Like It Is,,
